Date,AAPL,DIA,JNJ,JPM,QQQ,SPY,TSLA,WMT,XLE,XLF,XLK,XLP,XLV,XLY,XOM
2021-03-01,124.58336639404297,289.4574279785156,139.086181640625,132.53428649902344,314.02081298828125,363.6637268066406,239.47666931152344,40.913169860839844,20.4469051361084,30.561134338378906,64.86735534667969,56.067752838134766,105.32158660888672,79.21177673339844,46.879112243652344
2021-03-02,121.9803695678711,288.1731872558594,138.82431030273438,132.102783203125,308.9842224121094,360.8259582519531,228.81333923339844,40.520755767822266,20.335153579711914,30.451074600219727,63.838314056396484,55.97129440307617,105.01689910888672,78.29925537109375,46.604820251464844
2021-03-03,118.99713897705078,287.0725402832031,136.37986755371094,134.6566619873047,300.0174865722656,356.04656982421875,217.73333740234375,39.735939025878906,20.633161544799805,30.689546585083008,62.23227310180664,55.70823669433594,103.68743896484375,76.45980072021484,46.97885513305664
2021-03-04,117.11555480957031,283.9449462890625,133.62994384765625,132.587158203125,295.107177734375,351.6404724121094,207.14666748046875,39.717262268066406,21.12571144104004,30.34100914001465,60.857025146484375,55.50654983520508,102.29338073730469,74.84127807617188,48.79916000366211
2021-03-05,118.37320709228516,289.13623046875,136.27516174316406,132.89537048339844,299.55181884765625,358.1095275878906,199.31666564941406,40.212432861328125,21.91626739501953,30.918842315673828,62.00627517700195,56.73418045043945,104.34294128417969,75.3167495727539,50.64440155029297
2021-03-08,113.44017791748047,291.8970947265625,137.41001892089844,134.6566619873047,291.0701904296875,356.32672119140625,187.6666717529297,39.82626724243164,21.957656860351562,31.313241958618164,60.50600051879883,56.97970962524414,104.08444213867188,75.40799713134766,50.59452819824219
2021-03-09,118.05146789550781,292.2272644042969,137.6719207763672,133.70553588867188,302.55035400390625,361.4140930175781,224.52667236328125,40.140811920166016,21.57272720336914,31.028902053833008,62.56407165527344,56.927101135253906,104.69377899169922,78.25601959228516,49.81320571899414
2021-03-10,116.9693374633789,296.5563049316406,138.937744140625,136.61160278320312,301.6867370605469,363.6637268066406,222.68666076660156,41.16542434692383,22.119077682495117,31.66176986694336,62.31401824951172,57.67245101928711,104.9338150024414,78.65465545654297,51.34260559082031
2021-03-11,118.89964294433594,298.3907775878906,138.92904663085938,135.8982696533203,308.63494873046875,367.3509216308594,233.1999969482422,41.149864196777344,22.127361297607422,31.57005500793457,63.64598846435547,57.53214645385742,105.57083892822266,79.86013793945312,50.96025085449219
2021-03-12,117.99299621582031,301.1239318847656,139.33062744140625,137.50982666015625,306.1312255859375,367.845703125,231.2433319091797,41.76961898803711,22.17289161682129,31.891080856323242,63.189186096191406,58.005672454833984,105.80164337158203,80.0954818725586,51.508846282958984
2021-03-15,120.87872314453125,302.75653076171875,140.04649353027344,136.82296752929688,309.4015808105469,370.03936767578125,235.97999572753906,41.554725646972656,21.920412063598633,31.707630157470703,63.86237335205078,58.25996398925781,106.53099822998047,81.17130279541016,50.195556640625
2021-03-16,122.4190673828125,301.6284484863281,140.87582397460938,135.1850128173828,311.0998840332031,369.57269287109375,225.6266632080078,41.542274475097656,21.295412063598633,31.377443313598633,64.34321594238281,58.330108642578125,106.46637725830078,80.33081817626953,49.131629943847656
2021-03-17,121.62938690185547,303.38037109375,140.35203552246094,136.576416015625,312.38079833984375,370.83282470703125,233.93666076660156,41.196571350097656,21.460973739624023,31.588396072387695,64.29031372070312,58.24241256713867,106.07861328125,81.45945739746094,49.34773635864258
2021-03-18,117.50553894042969,302.0869445800781,140.09014892578125,138.83078002929688,302.8123779296875,365.4372863769531,217.72000122070312,40.658668518066406,20.4965763092041,31.753498077392578,62.50636291503906,58.005672454833984,105.85704040527344,79.46631622314453,47.219905853271484
2021-03-19,116.97909545898438,299.6248779296875,139.71475219726562,136.62039184570312,303.8799133300781,364.7611389160156,218.2899932861328,41.19969940185547,20.500715255737305,31.386611938476562,62.318824768066406,58.207340240478516,106.2355728149414,79.94178771972656,46.95391845703125
2021-03-22,120.29376983642578,300.7552795410156,140.1162872314453,132.94818115234375,309.57855224609375,367.6737976074219,223.3333282470703,41.396728515625,20.304113388061523,30.982187271118164,63.544227600097656,58.821834564208984,107.1601333618164,80.4680404663086,46.471824645996094
2021-03-23,119.46510314941406,297.8326721191406,139.98536682128906,131.61846923828125,308.2279968261719,364.77984619140625,220.72000122070312,41.88771438598633,20.007123947143555,30.549184799194336,63.149085998535156,59.068687438964844,106.07621002197266,79.71281433105469,45.89830780029297
2021-03-24,117.07657623291016,297.85107421875,141.34727478027344,132.6399688720703,303.0295715332031,362.92547607421875,210.08999633789062,41.628143310546875,20.50908088684082,30.659744262695312,62.382930755615234,58.8394660949707,105.9557876586914,78.53428649902344,46.82923126220703
2021-03-25,117.56402587890625,299.7902526855469,141.39962768554688,134.339599609375,302.5049743652344,364.9671630859375,213.4633331298828,41.90961456298828,20.584373474121094,31.175643920898438,62.344383239746094,59.41252136230469,106.40046691894531,79.22216796875,46.69624710083008
2021-03-26,118.16847229003906,303.8525085449219,143.98370361328125,136.576416015625,307.0426330566406,370.84857177734375,206.23666381835938,42.25987243652344,21.094697952270508,31.66391944885254,63.929718017578125,60.4616584777832,108.41082000732422,79.88117980957031,47.96796798706055
2021-03-29,118.34396362304688,304.8175354003906,144.95274353027344,134.45407104492188,306.9551696777344,370.6612854003906,203.76333618164062,42.741485595703125,20.843717575073242,31.38753318786621,63.597232818603516,61.0699577331543,108.92034149169922,79.44343566894531,47.710304260253906
2021-03-30,116.89132690429688,304.0455627441406,144.05352783203125,136.03921508789062,305.4102478027344,369.67791748046875,211.8733367919922,42.450645446777344,20.663848876953125,31.608644485473633,62.994895935058594,60.417572021484375,107.9383316040039,80.22270965576172,47.12015151977539
2021-03-31,119.08489227294922,303.4573669433594,143.47738647460938,134.05780029296875,310.0838317871094,371.1764221191406,222.64332580566406,42.47879409790039,20.521623611450195,31.369110107421875,63.997188568115234,60.223609924316406,108.15139770507812,80.84806823730469,46.405338287353516
2021-04-01,119.9135513305664,304.6245422363281,142.1504364013672,135.36109924316406,315.3697204589844,375.1847229003906,220.5833282470703,42.41312026977539,21.04450225830078,31.756053924560547,65.28378295898438,59.93267822265625,107.82715606689453,81.49747467041016,47.70198440551758
2021-04-05,122.74078369140625,308.071044921875,142.6741943359375,136.07859802246094,321.6659851074219,380.56976318359375,230.35000610351562,43.6046257019043,20.542545318603516,32.004798889160156,66.63301086425781,60.69969940185547,108.57757568359375,83.3494644165039,46.96223068237305
2021-04-06,123.04299926757812,307.30828857421875,142.63931274414062,135.12197875976562,321.44244384765625,380.34503173828125,230.5399932861328,43.81416702270508,20.488170623779297,31.940296173095703,66.34871673583984,60.955345153808594,108.1606674194336,83.71025085449219,46.82923126220703
2021-04-07,124.69060516357422,307.30828857421875,142.8313751220703,137.23904418945312,322.2198181152344,380.7852478027344,223.6566619873047,43.720340728759766,20.559274673461914,32.09691619873047,66.70048522949219,60.80546951293945,107.9197998046875,83.46009063720703,47.03704071044922
2021-04-08,127.08888244628906,308.0067138671875,142.2726287841797,137.4073486328125,325.5817565917969,382.59271240234375,227.93333435058594,43.69219970703125,20.291563034057617,32.106117248535156,67.66422271728516,60.86720275878906,108.0865707397461,83.85456085205078,46.546630859375
2021-04-09,129.66261291503906,310.51593017578125,140.77105712890625,138.43492126464844,327.55413818359375,385.3742370605469,225.67333984375,43.714088439941406,20.157712936401367,32.38250732421875,68.31473541259766,60.76140594482422,109.27237701416016,84.65308380126953,46.43857192993164
2021-04-12,127.94680786132812,310.2308654785156,141.1115264892578,138.1425323486328,327.126708984375,385.5147399902344,233.9933319091797,43.720340728759766,19.998762130737305,32.520694732666016,67.987060546875,61.08760452270508,109.38356018066406,85.1966552734375,46.131038665771484
2021-04-13,131.05673217773438,309.53240966796875,139.2258758544922,136.49496459960938,330.94525146484375,386.6572265625,254.10667419433594,43.58586883544922,20.019670486450195,32.21668243408203,68.62796020507812,60.76140594482422,109.83750915527344,86.09618377685547,46.30558395385742
2021-04-14,128.7169647216797,310.21258544921875,139.6099853515625,133.94383239746094,326.9712219238281,385.3367614746094,244.07666015625,43.57023239135742,20.576005935668945,32.4101448059082,67.90031433105469,60.708499908447266,109.82826232910156,85.24957275390625,47.643802642822266
2021-04-15,131.125,312.88702392578125,140.0203094482422,134.79420471191406,331.92657470703125,389.4762878417969,246.28334045410156,43.83293914794922,20.408687591552734,32.38250732421875,69.06645965576172,61.19339370727539,111.70891571044922,85.86048126220703,47.36119842529297
